노드ID,노드순번,노드유형,노드명,노드설명,좌표X,좌표Y,맵핑좌표X,맵핑좌표Y,지역ID,정류장번호,사용여부,표준코드여부(1:표준/0:비표준)
221000048,1,0.0,환경관리사업소.구리시곤충생태,환경관리사업소.구리시곤충생태관,127.159716676,37.5932265105,127.159716676,37.5932265105,,39089.0,1,1
232000705,1,5.0,호수마을이편한세상.한가람우미,호수마을이편한세상.한가람우미린,126.627694387,37.6491991427,126.627694387,37.6491991427,<NULL>,0.0,1,1
221000244,1,1.0,한양대구리병원.새마을금고(중),한양대구리병원,127.133188637,37.6006193081,127.133188637,37.6006193081,,39029.0,1,1
221000243,1,1.0,한양대구리병원(중),,127.133683095,37.6007076356,127.133683095,37.6007076356,,39010.0,1,1
106000473,1,0.0,브라운캐슬B동,브라운캐슬B동,127.074999,37.613647,127.075086556,37.6136280492,,7467.0,1,0
232000704,1,5.0,한가람마을우미린.호수이편한세,한가람마을우미린.호수이편한세상,126.627294345,37.649482513,126.627294345,37.649482513,<NULL>,0.0,1,1
213000190,1,5.0,하안사거리.7단지,하안사거리.7단지,126.880342914,37.4616652892,126.880342914,37.4616652892,,38155.0,1,1
213000103,1,5.0,하안사거리.12단지,하안사거리.7단지,126.880538262,37.461895042,126.880538262,37.461895042,,38159.0,1,1
213000102,1,5.0,하안4동행정복지센터.하안주공4.,하안4동주민센터.하안주공4.10단지,126.877669688,37.4652094468,126.877669688,37.4652094468,,38171.0,1,1
213000191,1,5.0,하안4동행정복지센터.하안주공4.,하안4동주민센터.하안주공4.10단지,126.877543838,37.4649563909,126.877543838,37.4649563909,,38170.0,1,1
213000086,1,5.0,하안3동행정복지센터.하안주공7.,하안3동주민센터.하안주공7.8단지,126.881363703,37.4589081232,126.881363703,37.4589081232,,38165.0,1,1
213000091,1,5.0,하안3동행정복지센터.하안주공7.,하안3동주민센터.하안주공7.8단지,126.881318921,37.4586377473,126.881318921,37.4586377473,,38153.0,1,1
213000101,1,5.0,하안2동행정복지센터.하안주공1.,하안2동주민센터.하안주공1.3단지,126.874459474,37.4641543192,126.874459474,37.4641543192,,38149.0,1,1
213000192,1,5.0,하안2동행정복지센터.하안주공1.,하안2동주민센터.하안주공1.3단지,126.874787278,37.4641726931,126.874787278,37.4641726931,,38145.0,1,1
213000341,1,5.0,광명시평생학습원.이편한세상센,하안1동주민센터.이편한세상센트레빌,126.869025043,37.466455345,126.869025043,37.466455345,,38642.0,1,1
222001518,1,0.0,포스코더샵아파트.별사랑마을2-9,포스코더샵아파트.별사랑마을2-9단지,127.126265237,37.6508101496,127.126265237,37.6508101496,,49435.0,1,1
222001519,1,0.0,포스코더샵아파트.별사랑마을2-9,포스코더샵아파트.별사랑마을2-9단지,127.126343563,37.6504670147,127.126343563,37.6504670147,,49436.0,1,1
